,channelId,videoId,videoTitle,publishTime,publishedAt,title_lowered,is_trailer
0,UCwSIJCMWZC5GDM59wj7pMsg,q9vdHoxuaQc,The Grand Tour: A Scandi Flick | Official Trailer | Prime Video,2022-08-25T15:59:49Z,2022-08-25T15:59:49Z,the grand tour: a scandi flick | official trailer | prime video,True
1,UCwSIJCMWZC5GDM59wj7pMsg,H5CCF39hIVw,The Devil&#39;s Hour | Official Trailer A | Prime Video,2022-09-22T14:33:49Z,2022-09-22T14:33:49Z,the devil&#39;s hour | official trailer a | prime video,True
2,UCwSIJCMWZC5GDM59wj7pMsg,TlAukkPK-dc,After Ever Happy | Official Trailer | Prime Video,2022-07-14T14:16:46Z,2022-07-14T14:16:46Z,after ever happy | official trailer | prime video,True
4,UCwSIJCMWZC5GDM59wj7pMsg,a3RDnD9YVxA,Infinite | Official Trailer | Prime Video,2021-09-10T09:00:04Z,2021-09-10T09:00:04Z,infinite | official trailer | prime video,True
5,UCwSIJCMWZC5GDM59wj7pMsg,3OHPCurXcTU,After We Fell | Official Trailer | Prime Video,2021-09-22T09:21:29Z,2021-09-22T09:21:29Z,after we fell | official trailer | prime video,True
6,UCwSIJCMWZC5GDM59wj7pMsg,bLirO_Vq7Xo,The Lord of the Rings: The Rings of Power - Official Trailer | Prime Video,2022-08-23T13:00:19Z,2022-08-23T13:00:19Z,the lord of the rings: the rings of power - official trailer | prime video,True
7,UCwSIJCMWZC5GDM59wj7pMsg,pW-iVG0_D34,Clarkson&#39;s Farm | Official Trailer | Prime Video,2021-05-21T08:59:46Z,2021-05-21T08:59:46Z,clarkson&#39;s farm | official trailer | prime video,True
8,UCwSIJCMWZC5GDM59wj7pMsg,c0RBg5Qrgsw,JUNGLE | Official Trailer | Prime Video,2022-08-23T07:59:51Z,2022-08-23T07:59:51Z,jungle | official trailer | prime video,True
9,UCwSIJCMWZC5GDM59wj7pMsg,EMzgOCHzPMs,Jolt | Official Trailer | Prime Video,2021-06-29T19:29:46Z,2021-06-29T19:29:46Z,jolt | official trailer | prime video,True
10,UCwSIJCMWZC5GDM59wj7pMsg,40BsdVExfVg,Nocturne | Official Trailer | Welcome To The Blumhouse | Prime Video,2020-09-16T18:00:00Z,2020-09-16T18:00:00Z,nocturne | official trailer | welcome to the blumhouse | prime video,True
11,UCwSIJCMWZC5GDM59wj7pMsg,M1bhOaLV4FU,The Boys - Official Trailer | Prime Video,2019-06-21T09:16:12Z,2019-06-21T09:16:12Z,the boys - official trailer | prime video,True
13,UCwSIJCMWZC5GDM59wj7pMsg,qWNxIZQ594s,Deep Water | Official Trailer | Prime Video,2022-03-07T14:59:49Z,2022-03-07T14:59:49Z,deep water | official trailer | prime video,True
